Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
1244,2017,12,5,0,0,0.76038,0.76538,0.75984,0.76042,82980,52.30913792,-0.00231567,-0.00303653,64.11935953,64.11935953
1245,2017,12,6,0,0,0.76041,0.76333,0.75585,0.75672,72841,38.10087916,-0.00239583,-0.0029012,76.18040874,76.18040874
1246,2017,12,7,0,0,0.75671,0.75676,0.75053,0.75108,71529,25.69098225,-0.00288125,-0.00284765,70.04538578,70.04538578
1247,2017,12,8,0,0,0.75109,0.75336,0.75014,0.75086,68773,25.31573793,-0.00324628,-0.00285975,68.06282723,68.06282723
1248,2017,12,10,0,0,0.75072,0.7512,0.75033,0.75068,4274,24.96763518,-0.00350963,-0.00288928,49.27536232,49.27536232
1249,2017,12,11,0,0,0.75068,0.75453,0.75066,0.75288,69494,37.26764397,-0.00350047,-0.00290937,50.19011407,50.19011407
1250,2017,12,12,0,0,0.75287,0.75801,0.75193,0.75563,61942,49.37116039,-0.00323403,-0.00293999,46.61246612,46.61246612
1251,2017,12,13,0,0,0.75563,0.75805,0.75563,0.75779,6967,56.97761525,-0.00281612,-0.00293952,66.66666667,66.66666667
1252,2017,12,17,0,0,0.76432,0.76496,0.76432,0.76463,3735,72.33379186,-0.00191096,-0.0028678,74.18263811,74.18263811
1253,2017,12,18,0,0,0.76465,0.76776,0.76408,0.76642,72122,75.05248183,-0.00103722,-0.00272575,66.15236258,66.15236258
1254,2017,12,19,0,0,0.76645,0.7684,0.76461,0.7652,73306,69.61304119,-0.00043816,-0.00250824,41.11986002,41.11986002
1255,2017,12,20,0,0,0.76519,0.76797,0.76513,0.76708,76120,73.11594896,0.00018614,-0.00216741,32.08163265,32.08163265
1256,2017,12,21,0,0,0.76708,0.77079,0.76537,0.77055,75508,78.4623171,0.00094996,-0.00170116,33.66488141,33.66488141
1257,2017,12,22,0,0,0.77056,0.77208,0.7702,0.77148,66970,79.72317014,0.00161176,-0.00113212,45.11450382,45.11450382
1258,2017,12,24,0,0,0.77095,0.77126,0.77048,0.771,140,77.00854729,0.0020736,-0.00051278,52.83806344,52.83806344
1259,2017,12,25,0,0,0.771,0.77243,0.76953,0.77231,3676,79.25741854,0.00251631,0.00012615,70.82273113,70.82273113
1260,2017,12,26,0,0,0.7723,0.77307,0.77127,0.77298,35665,80.40128686,0.00288794,0.00075993,79.19930374,79.19930374
1261,2017,12,27,0,0,0.77299,0.77791,0.77298,0.77736,67725,86.20382515,0.00349559,0.00136066,89.29173693,89.29173693
1262,2017,12,28,0,0,0.77736,0.78095,0.77735,0.77937,60570,88.09145898,0.00409217,0.00193059,88.57913669,88.57913669
1263,2017,12,29,0,0,0.77938,0.7825,0.77885,0.77994,64627,88.6071812,0.00455842,0.00248577,84.77876106,84.77876106
