Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
464,2015,6,3,0,0,1.04045,1.0539,1.03965,1.0522,121663,78.11538777,-0.00040288,-0.00137523,72.15302491,72.15302491
465,2015,6,4,0,0,1.05216,1.05735,1.04645,1.04761,69967,65.25289007,0.00030379,-0.00128817,71.84325109,71.84325109
466,2015,6,5,0,0,1.04759,1.05337,1.04377,1.04384,39383,56.36013739,0.00055325,-0.00113694,63.53408339,63.53408339
467,2015,6,7,0,0,1.04451,1.0448,1.04377,1.04415,3621,56.92331563,0.00076711,-0.0009243,51.09170306,51.09170306
468,2015,6,8,0,0,1.04415,1.05074,1.04381,1.04597,90253,60.42176354,0.00107112,-0.00063718,44.07951599,44.07951599
469,2015,6,9,0,0,1.04598,1.05107,1.04402,1.05049,96142,67.96097988,0.00165766,-0.0002518,40.50218341,40.50218341
470,2015,6,10,0,0,1.05049,1.05515,1.04719,1.05407,96301,72.75639045,0.00238389,0.00025367,40.37356322,40.37356322
471,2015,6,11,0,0,1.05408,1.05533,1.04909,1.04997,81451,60.63115846,0.00259865,0.00079625,71.64502165,71.64502165
472,2015,6,12,0,0,1.04997,1.05051,1.04239,1.04537,87768,49.7734655,0.00237034,0.00125588,76.95167286,76.95167286
473,2015,6,14,0,0,1.04215,1.04333,1.042,1.04311,5698,45.14005121,0.00198416,0.00152111,74.82093664,74.82093664
474,2015,6,15,0,0,1.0431,1.05407,1.04303,1.04833,77976,56.14182405,0.00207541,0.00171795,56.49452269,56.49452269
475,2015,6,16,0,0,1.04833,1.05064,1.04532,1.04739,69668,53.87208865,0.00204825,0.00188407,47.20298348,47.20298348
476,2015,6,17,0,0,1.04739,1.0482,1.04017,1.04653,92032,51.64354009,0.00193504,0.00201383,36.02118893,36.02118893
477,2015,6,18,0,0,1.04655,1.05321,1.04362,1.04766,96318,54.52715459,0.00191442,0.00210754,45.1754386,45.1754386
