Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
1094,2017,6,13,0,0,0.69744,0.70091,0.69712,0.69852,61587,73.8294271,0.00286447,0.0012846,64.79481641,64.79481641
1095,2017,6,14,0,0,0.6985,0.70702,0.69731,0.70415,122746,82.9082557,0.00347556,0.00171012,44.74299065,44.74299065
1096,2017,6,15,0,0,0.70413,0.70471,0.70004,0.703,104226,76.57752085,0.00382299,0.00215316,39.34040047,39.34040047
1097,2017,6,16,0,0,0.70299,0.70667,0.70199,0.70588,73447,80.8498923,0.00428137,0.00260753,31.82320442,31.82320442
1098,2017,6,18,0,0,0.70524,0.70626,0.70484,0.70593,2174,80.92038272,0.0045957,0.0030392,29.27272727,29.27272727
1099,2017,6,19,0,0,0.7059,0.71053,0.70374,0.70462,65371,72.73650049,0.0046851,0.00340897,10.60965954,10.60965954
1100,2017,6,20,0,0,0.70465,0.70842,0.70378,0.70601,63281,75.77000759,0.00481263,0.00372498,6.95876289,6.95876289
1101,2017,6,21,0,0,0.70601,0.70724,0.70104,0.70377,59399,62.66172567,0.00467901,0.00398143,5.60578662,5.60578662
1102,2017,6,22,0,0,0.70377,0.70751,0.70355,0.70621,53461,69.39122798,0.00471564,0.00421472,5.6980057,5.6980057
1103,2017,6,23,0,0,0.70621,0.70803,0.70437,0.70574,46832,66.6901016,0.00465312,0.00441346,5.65749235,5.65749235
1104,2017,6,25,0,0,0.69864,0.70592,0.69864,0.70557,2278,65.61233754,0.00453754,0.00453146,9.13613749,9.13613749
1105,2017,6,26,0,0,0.70557,0.70932,0.70517,0.70756,61268,71.82968295,0.00455402,0.00461268,11.84376312,11.84376312
1106,2017,6,27,0,0,0.70757,0.71409,0.69713,0.69813,82498,35.92279087,0.00376279,0.00455506,13.83399209,13.83399209
1107,2017,6,28,0,0,0.69811,0.70284,0.69599,0.70094,98006,45.40981211,0.00332415,0.00441378,18.29393628,18.29393628
1108,2017,6,29,0,0,0.70092,0.70255,0.69574,0.69754,89692,37.55982069,0.00267139,0.00419003,30.30095759,30.30095759
