Date,Year,Month,Day,Hour,Minute,Open Price,High,Low,Close,Volume,RSI,MACD_M,MACD_S,STO_K,STO_D
115,2014,4,20,0,0,1.10226,1.10249,1.10189,1.102,900,59.36096773,-0.00191865,-0.00341538,78.05068226,78.05068226
116,2014,4,21,0,0,1.10201,1.10298,1.1007,1.10188,11444,58.7172314,-0.00161615,-0.00308353,69.14044152,69.14044152
117,2014,4,22,0,0,1.10191,1.10408,1.09994,1.10268,16675,61.92840408,-0.00129691,-0.00274612,44.53213078,44.53213078
118,2014,4,23,0,0,1.10267,1.10519,1.10164,1.10303,18393,63.38222734,-0.0010041,-0.00240066,21.2183436,21.2183436
119,2014,4,24,0,0,1.10302,1.10371,1.10142,1.10212,15789,56.80263274,-0.00083583,-0.00205486,13.83344804,13.83344804
120,2014,4,25,0,0,1.10213,1.10458,1.10131,1.10381,14281,64.73447538,-0.00055966,-0.00171354,17.84298176,17.84298176
121,2014,4,27,0,0,1.10391,1.10399,1.10303,1.10344,1187,61.83440329,-0.00036643,-0.00140453,31.70055453,31.70055453
122,2014,4,28,0,0,1.10342,1.10383,1.10162,1.10239,15169,53.84758575,-0.00029462,-0.00113127,47.90123457,47.90123457
123,2014,4,29,0,0,1.1024,1.10245,1.09421,1.09524,21001,26.5764232,-0.00080537,-0.00096641,71.55049787,71.55049787
124,2014,4,30,0,0,1.09522,1.0978,1.09417,1.0965,21639,33.50057526,-0.00109584,-0.00087499,85.75539568,85.75539568
125,2014,5,1,0,0,1.09649,1.09941,1.09514,1.09634,17791,33.03898778,-0.00132369,-0.00084249,85.546875,85.546875
126,2014,5,2,0,0,1.09633,1.10011,1.09348,1.09702,19122,37.32110736,-0.00143288,-0.0008576,74.8257165,74.8257165
127,2014,5,4,0,0,1.09801,1.09821,1.09741,1.09761,1284,41.13182888,-0.00145503,-0.0009077,69.61178046,69.61178046
128,2014,5,5,0,0,1.0976,1.09878,1.09478,1.09573,15294,33.54918729,-0.00160577,-0.00099325,65.16516517,65.16516517
129,2014,5,6,0,0,1.09574,1.09595,1.08731,1.08894,19742,18.88195479,-0.00224723,-0.00118076,54.6474359,54.6474359
130,2014,5,7,0,0,1.08893,1.09061,1.08747,1.08971,18106,23.31733747,-0.00266276,-0.00143591,33.30479452,33.30479452
131,2014,5,8,0,0,1.08972,1.09027,1.08131,1.08303,20248,15.01043114,-0.00349085,-0.00179105,15.80937973,15.80937973
132,2014,5,9,0,0,1.08304,1.09147,1.08156,1.08967,20834,39.85770547,-0.00357018,-0.00209825,14.94992847,14.94992847
133,2014,5,11,0,0,1.08986,1.09001,1.0894,1.08983,1300,40.34797736,-0.00357887,-0.00237414,21.15646259,21.15646259
134,2014,5,12,0,0,1.08988,1.09027,1.08736,1.0898,15846,40.27615609,-0.0035473,-0.00262121,27.18023256,27.18023256
135,2014,5,13,0,0,1.08981,1.0925,1.08861,1.09044,18925,42.80987183,-0.00343108,-0.00284323,28.10945274,28.10945274
136,2014,5,14,0,0,1.09045,1.09203,1.08685,1.08877,18259,37.91337107,-0.00343414,-0.00306313,28.47490347,28.47490347
137,2014,5,15,0,0,1.08876,1.08896,1.08508,1.08756,20609,34.57089568,-0.00349393,-0.00327293,14.81795089,14.81795089
138,2014,5,16,0,0,1.08757,1.08872,1.08545,1.08596,14539,30.43197286,-0.00362859,-0.00342641,9.55017301,9.55017301
139,2014,5,18,0,0,1.08606,1.08652,1.08571,1.08642,1154,33.1177633,-0.00365605,-0.00353678,9.47922762,9.47922762
140,2014,5,19,0,0,1.08641,1.08748,1.08491,1.08722,16276,37.97623322,-0.00357208,-0.0035458,21.76100629,21.76100629
